epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.98833,1.98975,3.53305,1.53178,0.03667,0.10758,0.02083,0.01321,1.18207,3.49127,1.06731,0.00012,0.00012,0.00012
2,22.499,1.59038,3.44869,1.26487,0.0675,0.19804,0.04411,0.02936,1.12645,3.44129,1.02521,0.000257426,0.000257426,0.000257426
3,31.1064,1.36766,3.17516,1.21042,0.10542,0.30929,0.08264,0.05496,1.15688,3.38549,1.00408,0.00039208,0.00039208,0.00039208
4,39.8551,1.43685,2.96287,1.12975,0.15375,0.4511,0.13853,0.08642,1.17352,3.28646,0.98181,0.000523962,0.000523962,0.000523962
5,50.977,1.42282,2.81889,1.1157,0.15375,0.4511,0.13853,0.08642,1.17352,3.28646,0.98181,0.000653072,0.000653072,0.000653072
6,56.9671,1.28294,2.49622,1.10003,0.14667,0.43032,0.17548,0.11371,1.16924,3.06523,0.98709,0.00077941,0.00077941,0.00077941
7,69.8881,1.26252,2.44957,1.02168,0.14667,0.43032,0.17548,0.11371,1.16924,3.06523,0.98709,0.000902976,0.000902976,0.000902976
8,77.4993,1.20924,2.18373,1.02375,0.68824,0.36553,0.42336,0.26124,1.22158,2.67697,1.02848,0.00102377,0.00102377,0.00102377
9,83.2415,1.31833,2.04731,1.00555,0.68824,0.36553,0.42336,0.26124,1.22158,2.67697,1.02848,0.00114179,0.00114179,0.00114179
10,89.8886,1.36399,2.04716,1.09242,0.68824,0.36553,0.42336,0.26124,1.22158,2.67697,1.02848,0.00125704,0.00125704,0.00125704
11,100.955,1.40709,2.23456,1.00983,0.68824,0.36553,0.42336,0.26124,1.22158,2.67697,1.02848,0.00136952,0.00136952,0.00136952
12,111.326,1.29161,1.90729,0.97435,0.77477,0.34064,0.48695,0.31098,1.41719,2.19439,1.12566,0.00147923,0.00147923,0.00147923
13,118.774,1.37137,1.79535,1.01569,0.77477,0.34064,0.48695,0.31098,1.41719,2.19439,1.12566,0.00158616,0.00158616,0.00158616
14,125.133,1.39197,1.73624,1.05127,0.77477,0.34064,0.48695,0.31098,1.41719,2.19439,1.12566,0.00169032,0.00169032,0.00169032
15,132.424,1.39112,1.78224,1.01025,0.77477,0.34064,0.48695,0.31098,1.41719,2.19439,1.12566,0.0017228,0.0017228,0.0017228
16,139.33,1.29745,1.69108,1.02835,0.64635,0.52812,0.55569,0.28392,1.8396,1.86094,1.27204,0.001703,0.001703,0.001703
17,145.698,1.48929,1.57427,1.02128,0.64635,0.52812,0.55569,0.28392,1.8396,1.86094,1.27204,0.0016832,0.0016832,0.0016832
18,152.015,1.45975,1.47791,1.03455,0.64635,0.52812,0.55569,0.28392,1.8396,1.86094,1.27204,0.0016634,0.0016634,0.0016634
19,158.166,1.31381,1.23733,1.01925,0.64635,0.52812,0.55569,0.28392,1.8396,1.86094,1.27204,0.0016436,0.0016436,0.0016436
20,165.755,1.31686,1.4923,1.01958,0.64635,0.52812,0.55569,0.28392,1.8396,1.86094,1.27204,0.0016238,0.0016238,0.0016238
21,172.592,1.33394,1.3882,0.99265,0.49973,0.58191,0.50011,0.28673,1.64889,1.85843,1.20745,0.001604,0.001604,0.001604
22,178.818,1.29046,1.38277,0.99983,0.49973,0.58191,0.50011,0.28673,1.64889,1.85843,1.20745,0.0015842,0.0015842,0.0015842
23,185.054,1.35748,1.40866,0.97847,0.49973,0.58191,0.50011,0.28673,1.64889,1.85843,1.20745,0.0015644,0.0015644,0.0015644
24,191.172,1.35876,1.43445,1.02134,0.49973,0.58191,0.50011,0.28673,1.64889,1.85843,1.20745,0.0015446,0.0015446,0.0015446
25,197.91,1.30947,1.33321,0.97673,0.57446,0.60391,0.56182,0.33533,1.5294,1.68279,1.13474,0.0015248,0.0015248,0.0015248
26,206.852,1.26333,1.33858,0.99818,0.57446,0.60391,0.56182,0.33533,1.5294,1.68279,1.13474,0.001505,0.001505,0.001505
27,215.797,1.36557,1.28229,0.97173,0.57446,0.60391,0.56182,0.33533,1.5294,1.68279,1.13474,0.0014852,0.0014852,0.0014852
28,225.427,1.31276,1.37724,0.97342,0.57446,0.60391,0.56182,0.33533,1.5294,1.68279,1.13474,0.0014654,0.0014654,0.0014654
29,234.556,1.15516,1.16063,0.98074,0.57446,0.60391,0.56182,0.33533,1.5294,1.68279,1.13474,0.0014456,0.0014456,0.0014456
30,246.783,1.39089,1.3843,0.97171,0.74747,0.57536,0.66338,0.37869,1.62313,1.55822,1.13465,0.0014258,0.0014258,0.0014258
31,255.978,1.17654,1.16251,0.97623,0.74747,0.57536,0.66338,0.37869,1.62313,1.55822,1.13465,0.001406,0.001406,0.001406
32,265.949,1.09905,1.08019,0.95361,0.74747,0.57536,0.66338,0.37869,1.62313,1.55822,1.13465,0.0013862,0.0013862,0.0013862
33,272.152,1.22339,1.07061,0.98497,0.74747,0.57536,0.66338,0.37869,1.62313,1.55822,1.13465,0.0013664,0.0013664,0.0013664
34,283.274,1.22138,1.09921,0.95446,0.74747,0.57536,0.66338,0.37869,1.62313,1.55822,1.13465,0.0013466,0.0013466,0.0013466
35,290.299,1.13538,0.99953,0.9656,0.7632,0.61002,0.70134,0.43609,1.47934,1.47933,1.08499,0.0013268,0.0013268,0.0013268
36,297.821,1.12435,1.04559,0.93933,0.7632,0.61002,0.70134,0.43609,1.47934,1.47933,1.08499,0.001307,0.001307,0.001307
37,310.938,1.19228,1.14982,0.94239,0.7632,0.61002,0.70134,0.43609,1.47934,1.47933,1.08499,0.0012872,0.0012872,0.0012872
38,317.837,1.23807,1.119,0.96118,0.7632,0.61002,0.70134,0.43609,1.47934,1.47933,1.08499,0.0012674,0.0012674,0.0012674
39,326.252,1.19496,1.15436,0.95966,0.7817,0.63692,0.72777,0.47399,1.41,1.49282,1.06243,0.0012476,0.0012476,0.0012476
40,332.806,1.14301,1.02988,0.95719,0.7817,0.63692,0.72777,0.47399,1.41,1.49282,1.06243,0.0012278,0.0012278,0.0012278
41,339.508,1.06855,1.11028,0.94967,0.7817,0.63692,0.72777,0.47399,1.41,1.49282,1.06243,0.001208,0.001208,0.001208
42,345.922,1.03093,0.90568,0.93428,0.7817,0.63692,0.72777,0.47399,1.41,1.49282,1.06243,0.0011882,0.0011882,0.0011882
43,352.5,1.07945,0.97447,0.95657,0.7817,0.63692,0.72777,0.47399,1.41,1.49282,1.06243,0.0011684,0.0011684,0.0011684
44,358.46,1.05125,0.98977,0.93416,0.79304,0.67115,0.77398,0.53232,1.25163,1.32658,1.01155,0.0011486,0.0011486,0.0011486
45,365.898,1.00335,0.92689,0.94216,0.79304,0.67115,0.77398,0.53232,1.25163,1.32658,1.01155,0.0011288,0.0011288,0.0011288
46,373.79,1.0728,0.95584,0.93158,0.79304,0.67115,0.77398,0.53232,1.25163,1.32658,1.01155,0.001109,0.001109,0.001109
47,380.394,0.98887,0.90707,0.93453,0.79304,0.67115,0.77398,0.53232,1.25163,1.32658,1.01155,0.0010892,0.0010892,0.0010892
48,387.974,1.06037,1.08093,0.94802,0.76508,0.7176,0.79532,0.52324,1.2887,1.27453,1.00902,0.0010694,0.0010694,0.0010694
49,393.804,1.03426,0.90751,0.92627,0.76508,0.7176,0.79532,0.52324,1.2887,1.27453,1.00902,0.0010496,0.0010496,0.0010496
50,399.884,1.03569,1.07646,0.96023,0.76508,0.7176,0.79532,0.52324,1.2887,1.27453,1.00902,0.0010298,0.0010298,0.0010298
51,407.111,0.96388,0.9515,0.93077,0.76508,0.7176,0.79532,0.52324,1.2887,1.27453,1.00902,0.00101,0.00101,0.00101
52,413.155,1.0745,1.02283,0.9395,0.76508,0.7176,0.79532,0.52324,1.2887,1.27453,1.00902,0.0009902,0.0009902,0.0009902
53,419.513,1.10412,0.9928,0.93057,0.79172,0.73423,0.80663,0.53649,1.24359,1.28255,1.00696,0.0009704,0.0009704,0.0009704
54,425.535,0.98869,0.91036,0.91654,0.79172,0.73423,0.80663,0.53649,1.24359,1.28255,1.00696,0.0009506,0.0009506,0.0009506
55,432.417,1.08358,0.94986,0.92901,0.79172,0.73423,0.80663,0.53649,1.24359,1.28255,1.00696,0.0009308,0.0009308,0.0009308
56,443.453,1.04793,0.94319,0.94619,0.79172,0.73423,0.80663,0.53649,1.24359,1.28255,1.00696,0.000911,0.000911,0.000911
57,451.988,1.02411,0.88121,0.92294,0.80885,0.7066,0.80392,0.53318,1.21595,1.22337,1.00963,0.0008912,0.0008912,0.0008912
58,465.273,1.01797,0.95052,0.91076,0.80885,0.7066,0.80392,0.53318,1.21595,1.22337,1.00963,0.0008714,0.0008714,0.0008714
59,479.49,0.93238,0.8809,0.93297,0.80885,0.7066,0.80392,0.53318,1.21595,1.22337,1.00963,0.0008516,0.0008516,0.0008516
60,493.989,1.15782,1.03276,0.93245,0.80885,0.7066,0.80392,0.53318,1.21595,1.22337,1.00963,0.0008318,0.0008318,0.0008318
61,508.124,0.95354,0.8144,0.90583,0.80885,0.7066,0.80392,0.53318,1.21595,1.22337,1.00963,0.000812,0.000812,0.000812
62,522.342,1.05747,0.87439,0.91749,0.78603,0.74205,0.8094,0.54674,1.19807,1.20673,1.00491,0.0007922,0.0007922,0.0007922
63,536.535,1.04586,0.89971,0.93448,0.78603,0.74205,0.8094,0.54674,1.19807,1.20673,1.00491,0.0007724,0.0007724,0.0007724
64,547.757,1.07645,0.89759,0.91107,0.78603,0.74205,0.8094,0.54674,1.19807,1.20673,1.00491,0.0007526,0.0007526,0.0007526
65,559.991,0.87873,0.81766,0.93903,0.78603,0.74205,0.8094,0.54674,1.19807,1.20673,1.00491,0.0007328,0.0007328,0.0007328
66,572.2,1.07874,0.95604,0.93624,0.78603,0.74205,0.8094,0.54674,1.19807,1.20673,1.00491,0.000713,0.000713,0.000713
67,584.698,0.98981,0.90048,0.89902,0.8018,0.74083,0.8195,0.55964,1.1831,1.21138,1.00057,0.0006932,0.0006932,0.0006932
68,596.731,0.96353,0.87854,0.91254,0.8018,0.74083,0.8195,0.55964,1.1831,1.21138,1.00057,0.0006734,0.0006734,0.0006734
69,604.655,1.02874,0.93773,0.90668,0.8018,0.74083,0.8195,0.55964,1.1831,1.21138,1.00057,0.0006536,0.0006536,0.0006536
70,613.6,0.87402,0.83965,0.92888,0.8018,0.74083,0.8195,0.55964,1.1831,1.21138,1.00057,0.0006338,0.0006338,0.0006338
71,621.238,0.97378,0.9402,0.92044,0.78259,0.71883,0.80334,0.53762,1.22103,1.2707,1.01636,0.000614,0.000614,0.000614
72,629.844,0.91305,0.88255,0.91332,0.78259,0.71883,0.80334,0.53762,1.22103,1.2707,1.01636,0.0005942,0.0005942,0.0005942
73,637.671,0.91695,0.83478,0.90951,0.78259,0.71883,0.80334,0.53762,1.22103,1.2707,1.01636,0.0005744,0.0005744,0.0005744
74,646.308,1.04009,0.87187,0.90149,0.78259,0.71883,0.80334,0.53762,1.22103,1.2707,1.01636,0.0005546,0.0005546,0.0005546
75,653.902,0.93077,0.76537,0.943,0.78259,0.71883,0.80334,0.53762,1.22103,1.2707,1.01636,0.0005348,0.0005348,0.0005348
76,661.315,0.92361,0.80235,0.9211,0.79835,0.74328,0.82406,0.57139,1.17021,1.21702,1.00622,0.000515,0.000515,0.000515
77,668.681,1.08273,0.92417,0.97104,0.79835,0.74328,0.82406,0.57139,1.17021,1.21702,1.00622,0.0004952,0.0004952,0.0004952
78,675.812,0.86688,0.8015,0.90506,0.79835,0.74328,0.82406,0.57139,1.17021,1.21702,1.00622,0.0004754,0.0004754,0.0004754
79,682.935,0.93333,0.78855,0.89331,0.79835,0.74328,0.82406,0.57139,1.17021,1.21702,1.00622,0.0004556,0.0004556,0.0004556
